event_id,trip_id,airport,gate,delay_minutes,event_type,event_timestamp
e00027,t0007,DIA,,,checkin_prompt_shown,2026-08-14 07:20:58.922841
e00028,t0008,ATL,,,checkin_prompt_shown,2026-08-09 03:09:46.572093
e00029,t0008,ATL,,,flight_opted_in,2026-08-09 03:11:05.572093
e00030,t0008,ATL,A9,180.0,delay_detected,2026-08-09 14:40:39.373525
e00031,t0008,ATL,A9,180.0,options_prompt_shown,2026-08-09 14:41:26.373525
e00032,t0008,ATL,A9,180.0,options_prompt_engaged,2026-08-09 14:43:02.373525
e00033,t0008,ATL,A9,180.0,gate_entered,2026-08-09 14:44:25.373525
e00034,t0009,LAX,,,checkin_prompt_shown,2026-08-09 19:49:49.053973
e00035,t0010,ATL,,,checkin_prompt_shown,2026-08-11 04:32:29.436984
e00036,t0010,ATL,,,flight_opted_in,2026-08-11 04:33:52.436984
e00037,t0011,ORD,,,checkin_prompt_shown,2026-08-04 20:26:15.330204
e00038,t0012,LAX,,,checkin_prompt_shown,2026-08-20 07:22:58.054351
e00039,t0012,LAX,,,flight_opted_in,2026-08-20 07:23:24.054351
e00040,t0012,LAX,C29,90.0,delay_detected,2026-08-20 17:37:40.198775
e00041,t0012,LAX,C29,90.0,options_prompt_shown,2026-08-20 17:38:12.198775
e00042,t0013,ATL,,,checkin_prompt_shown,2026-08-09 15:57:12.675700
e00043,t0014,LAX,,,checkin_prompt_shown,2026-08-05 11:59:07.976022
e00044,t0014,LAX,,,flight_opted_in,2026-08-05 11:59:31.976022
e00045,t0014,LAX,A16,60.0,delay_detected,2026-08-06 04:08:17.156875
e00046,t0014,LAX,A16,60.0,options_prompt_shown,2026-08-06 04:08:33.156875
e00047,t0014,LAX,A16,60.0,options_prompt_engaged,2026-08-06 04:08:36.156875
e00048,t0014,LAX,A16,60.0,gate_entered,2026-08-06 04:09:54.156875
e00049,t0014,LAX,A16,60.0,venue_selected,2026-08-06 04:12:28.156875
e00050,t0014,LAX,A16,60.0,directions_viewed,2026-08-06 04:12:34.156875
e00051,t0015,SEA,,,checkin_prompt_shown,2026-08-16 05:48:19.349253
e00052,t0016,DIA,,,checkin_prompt_shown,2026-08-20 07:57:34.017598
e00053,t0017,SEA,,,checkin_prompt_shown,2026-08-10 05:25:01.537555
e00054,t0017,SEA,,,flight_opted_in,2026-08-10 05:26:07.537555
e00055,t0017,SEA,B3,150.0,delay_detected,2026-08-10 15:38:44.187362
e00056,t0018,LAX,,,checkin_prompt_shown,2026-08-08 17:53:42.995424
e00057,t0018,LAX,,,flight_opted_in,2026-08-08 17:54:00.995424
e00058,t0019,SEA,,,checkin_prompt_shown,2026-08-09 04:26:06.521397
e00059,t0019,SEA,,,flight_opted_in,2026-08-09 04:26:20.521397
e00060,t0019,SEA,D5,180.0,delay_detected,2026-08-09 10:13:19.003531
e00061,t0019,SEA,D5,180.0,options_prompt_shown,2026-08-09 10:13:46.003531
e00062,t0020,LAX,,,checkin_prompt_shown,2026-08-19 12:56:53.568738
e00063,t0020,LAX,,,flight_opted_in,2026-08-19 12:57:57.568738
e00064,t0020,LAX,A5,90.0,delay_detected,2026-08-20 01:05:39.078289
e00065,t0020,LAX,A5,90.0,options_prompt_shown,2026-08-20 01:06:05.078289
e00066,t0021,LAX,,,checkin_prompt_shown,2026-08-05 13:53:33.104670
e00067,t0021,LAX,,,flight_opted_in,2026-08-05 13:54:04.104670
e00068,t0021,LAX,A25,120.0,delay_detected,2026-08-05 23:13:17.208276
e00069,t0021,LAX,A25,120.0,options_prompt_shown,2026-08-05 23:14:03.208276
e00070,t0022,ATL,,,checkin_prompt_shown,2026-08-21 05:26:29.488456
e00071,t0022,ATL,,,flight_opted_in,2026-08-21 05:27:02.488456
e00072,t0022,ATL,C21,120.0,delay_detected,2026-08-21 18:54:24.246222
e00073,t0022,ATL,C21,120.0,options_prompt_shown,2026-08-21 18:55:20.246222
e00074,t0023,ORD,,,checkin_prompt_shown,2026-08-19 13:20:45.189725
e00075,t0023,ORD,,,flight_opted_in,2026-08-19 13:21:19.189725
e00076,t0023,ORD,C24,60.0,delay_detected,2026-08-20 02:15:39.676092
e00077,t0023,ORD,C24,60.0,options_prompt_shown,2026-08-20 02:15:45.676092
e00078,t0024,LAX,,,checkin_prompt_shown,2026-08-16 08:13:12.664986
e00079,t0024,LAX,,,flight_opted_in,2026-08-16 08:14:01.664986
e00080,t0024,LAX,C12,90.0,delay_detected,2026-08-17 03:49:50.908490
e00081,t0024,LAX,C12,90.0,options_prompt_shown,2026-08-17 03:50:01.908490
e00082,t0024,LAX,C12,90.0,options_prompt_engaged,2026-08-17 03:50:29.908490
e00083,t0024,LAX,C12,90.0,gate_entered,2026-08-17 03:51:40.908490
e00084,t0024,LAX,C12,90.0,venue_selected,2026-08-17 03:54:26.908490
e00085,t0024,LAX,C12,90.0,directions_viewed,2026-08-17 03:54:43.908490
e00086,t0025,ATL,,,checkin_prompt_shown,2026-08-03 22:11:29.219555
e00087,t0026,DIA,,,checkin_prompt_shown,2026-08-18 21:50:04.744684
e00088,t0027,ORD,,,checkin_prompt_shown,2026-08-05 14:28:22.029133
e00089,t0027,ORD,,,flight_opted_in,2026-08-05 14:29:48.029133
e00090,t0027,ORD,D15,75.0,delay_detected,2026-08-05 17:29:30.917348
e00091,t0027,ORD,D15,75.0,options_prompt_shown,2026-08-05 17:29:40.917348
e00092,t0028,ORD,,,checkin_prompt_shown,2026-08-02 21:50:04.907594
e00093,t0028,ORD,,,flight_opted_in,2026-08-02 21:51:08.907594
e00094,t0028,ORD,D22,180.0,delay_detected,2026-08-03 13:56:13.965722
e00095,t0029,ORD,,,checkin_prompt_shown,2026-08-04 16:10:04.227800
e00096,t0029,ORD,,,flight_opted_in,2026-08-04 16:11:32.227800
e00097,t0030,ORD,,,checkin_prompt_shown,2026-08-20 08:24:41.135336
e00098,t0030,ORD,,,flight_opted_in,2026-08-20 08:25:13.135336
e00099,t0031,ATL,,,checkin_prompt_shown,2026-08-18 03:01:40.389874
e00100,t0031,ATL,,,flight_opted_in,2026-08-18 03:02:18.389874
e00101,t0031,ATL,B2,120.0,delay_detected,2026-08-18 13:40:32.629242
e00102,t0031,ATL,B2,120.0,options_prompt_shown,2026-08-18 13:40:59.629242
e00103,t0032,SEA,,,checkin_prompt_shown,2026-08-13 03:33:40.063601
e00104,t0032,SEA,,,flight_opted_in,2026-08-13 03:34:49.063601
e00105,t0032,SEA,A28,60.0,delay_detected,2026-08-13 16:48:44.170491
e00106,t0032,SEA,A28,60.0,options_prompt_shown,2026-08-13 16:49:00.170491
e00107,t0033,ORD,,,checkin_prompt_shown,2026-08-11 14:08:10.755935
e00108,t0033,ORD,,,flight_opted_in,2026-08-11 14:08:30.755935
e00109,t0033,ORD,D26,120.0,delay_detected,2026-08-11 16:33:44.093707
e00110,t0033,ORD,D26,120.0,options_prompt_shown,2026-08-11 16:34:24.093707
e00111,t0033,ORD,D26,120.0,options_prompt_engaged,2026-08-11 16:34:51.093707
e00112,t0033,ORD,D26,120.0,gate_entered,2026-08-11 16:35:13.093707
e00113,t0033,ORD,D26,120.0,venue_selected,2026-08-11 16:37:46.093707
e00114,t0033,ORD,D26,120.0,directions_viewed,2026-08-11 16:37:50.093707
e00115,t0034,SEA,,,checkin_prompt_shown,2026-08-15 05:21:38.325745
e00116,t0034,SEA,,,flight_opted_in,2026-08-15 05:22:18.325745
e00117,t0034,SEA,D17,90.0,delay_detected,2026-08-15 18:03:33.655342
e00118,t0035,SEA,,,checkin_prompt_shown,2026-08-22 00:02:12.665626
e00119,t0035,SEA,,,flight_opted_in,2026-08-22 00:03:28.665626
e00120,t0035,SEA,B14,60.0,delay_detected,2026-08-22 20:22:40.647691
e00121,t0035,SEA,B14,60.0,options_prompt_shown,2026-08-22 20:23:13.647691
e00122,t0035,SEA,B14,60.0,options_prompt_engaged,2026-08-22 20:24:41.647691
e00123,t0035,SEA,B14,60.0,gate_entered,2026-08-22 20:25:00.647691
e00124,t0035,SEA,B14,60.0,venue_selected,2026-08-22 20:26:27.647691
e00125,t0035,SEA,B14,60.0,directions_viewed,2026-08-22 20:26:33.647691
e00126,t0036,ATL,,,checkin_prompt_shown,2026-08-20 07:25:53.385421
e00127,t0036,ATL,,,flight_opted_in,2026-08-20 07:26:57.385421
e00128,t0036,ATL,A13,60.0,delay_detected,2026-08-21 01:37:22.662655
e00129,t0036,ATL,A13,60.0,options_prompt_shown,2026-08-21 01:37:37.662655
e00130,t0037,ORD,,,checkin_prompt_shown,2026-08-10 15:52:30.667574
e00131,t0038,LAX,,,checkin_prompt_shown,2026-08-05 20:08:19.634871
e00132,t0038,LAX,,,flight_opted_in,2026-08-05 20:08:35.634871
e00133,t0038,LAX,C18,150.0,delay_detected,2026-08-06 05:33:36.503051
e00134,t0038,LAX,C18,150.0,options_prompt_shown,2026-08-06 05:34:26.503051
e00135,t0038,LAX,C18,150.0,options_prompt_engaged,2026-08-06 05:35:11.503051
e00136,t0038,LAX,C18,150.0,gate_entered,2026-08-06 05:35:58.503051
e00137,t0038,LAX,C18,150.0,venue_selected,2026-08-06 05:36:24.503051
e00138,t0038,LAX,C18,150.0,directions_viewed,2026-08-06 05:36:33.503051
e00139,t0039,DIA,,,checkin_prompt_shown,2026-08-07 05:01:02.893466
e00140,t0039,DIA,,,flight_opted_in,2026-08-07 05:01:30.893466
e00141,t0039,DIA,D28,75.0,delay_detected,2026-08-07 23:24:29.191629
e00142,t0039,DIA,D28,75.0,options_prompt_shown,2026-08-07 23:25:26.191629
e00143,t0040,LAX,,,checkin_prompt_shown,2026-08-21 01:35:05.390656
e00144,t0040,LAX,,,flight_opted_in,2026-08-21 01:36:13.390656
e00145,t0040,LAX,C2,150.0,delay_detected,2026-08-21 10:07:33.006748
e00146,t0040,LAX,C2,150.0,options_prompt_shown,2026-08-21 10:07:49.006748
e00147,t0041,DIA,,,checkin_prompt_shown,2026-08-01 22:27:14.983810
e00148,t0041,DIA,,,flight_opted_in,2026-08-01 22:27:52.983810
e00149,t0042,ORD,,,checkin_prompt_shown,2026-08-19 18:35:56.187013
e00150,t0042,ORD,,,flight_opted_in,2026-08-19 18:36:02.187013
e00151,t0042,ORD,D30,75.0,delay_detected,2026-08-20 18:28:10.714742
e00152,t0042,ORD,D30,75.0,options_prompt_shown,2026-08-20 18:28:54.714742
e00153,t0042,ORD,D30,75.0,options_prompt_engaged,2026-08-20 18:30:04.714742
e00154,t0042,ORD,D30,75.0,gate_entered,2026-08-20 18:30:28.714742
e00155,t0043,ATL,,,checkin_prompt_shown,2026-08-05 16:12:32.807567
e00156,t0044,ATL,,,checkin_prompt_shown,2026-08-06 05:44:45.816538
e00157,t0044,ATL,,,flight_opted_in,2026-08-06 05:45:54.816538
e00158,t0044,ATL,C26,150.0,delay_detected,2026-08-06 10:51:24.926951
e00159,t0044,ATL,C26,150.0,options_prompt_shown,2026-08-06 10:51:45.926951
e00160,t0044,ATL,C26,150.0,options_prompt_engaged,2026-08-06 10:51:50.926951
e00161,t0044,ATL,C26,150.0,gate_entered,2026-08-06 10:53:10.926951
e00162,t0045,SEA,,,checkin_prompt_shown,2026-08-21 17:23:39.319168
e00163,t0045,SEA,,,flight_opted_in,2026-08-21 17:25:08.319168
e00164,t0045,SEA,D18,180.0,delay_detected,2026-08-22 09:22:17.095445
e00165,t0045,SEA,D18,180.0,options_prompt_shown,2026-08-22 09:22:47.095445
e00166,t0046,ATL,,,checkin_prompt_shown,2026-08-06 21:30:20.885964
e00167,t0046,ATL,,,flight_opted_in,2026-08-06 21:31:46.885964
e00168,t0046,ATL,C2,60.0,delay_detected,2026-08-07 07:50:15.856245
e00169,t0046,ATL,C2,60.0,options_prompt_shown,2026-08-07 07:50:20.856245
e00170,t0046,ATL,C2,60.0,options_prompt_engaged,2026-08-07 07:51:57.856245
e00171,t0047,LAX,,,checkin_prompt_shown,2026-08-03 06:55:04.499352
e00172,t0048,LAX,,,checkin_prompt_shown,2026-08-16 11:53:34.467756
e00173,t0049,SEA,,,checkin_prompt_shown,2026-08-07 19:48:47.197497
e00174,t0049,SEA,,,flight_opted_in,2026-08-07 19:49:15.197497
e00175,t0049,SEA,A9,60.0,delay_detected,2026-08-08 03:00:31.436765
e00176,t0049,SEA,A9,60.0,options_prompt_shown,2026-08-08 03:00:57.436765
e00177,t0050,SEA,,,checkin_prompt_shown,2026-08-02 08:45:53.328481
e00178,t0051,ATL,,,checkin_prompt_shown,2026-08-05 10:13:43.610058
e00179,t0051,ATL,,,flight_opted_in,2026-08-05 10:14:36.610058
e00180,t0052,SEA,,,checkin_prompt_shown,2026-08-07 06:44:39.944072
e00181,t0052,SEA,,,flight_opted_in,2026-08-07 06:44:44.944072
e00182,t0053,DIA,,,checkin_prompt_shown,2026-08-13 23:27:09.948206
e00183,t0053,DIA,,,flight_opted_in,2026-08-13 23:27:16.948206
e00184,t0053,DIA,B3,75.0,delay_detected,2026-08-14 07:27:08.397793
e00185,t0053,DIA,B3,75.0,options_prompt_shown,2026-08-14 07:27:46.397793
e00186,t0054,ORD,,,checkin_prompt_shown,2026-08-17 05:46:51.773374
e00187,t0055,SEA,,,checkin_prompt_shown,2026-08-08 15:20:54.223100
e00188,t0056,LAX,,,checkin_prompt_shown,2026-08-16 21:35:13.616077
e00189,t0056,LAX,,,flight_opted_in,2026-08-16 21:35:36.616077
e00190,t0057,SEA,,,checkin_prompt_shown,2026-08-17 14:03:21.495542
e00191,t0058,SEA,,,checkin_prompt_shown,2026-08-12 15:20:36.177506
e00192,t0059,SEA,,,checkin_prompt_shown,2026-08-19 07:02:18.608073
e00193,t0059,SEA,,,flight_opted_in,2026-08-19 07:03:37.608073
e00194,t0059,SEA,B3,180.0,delay_detected,2026-08-20 04:35:43.910247
e00195,t0059,SEA,B3,180.0,options_prompt_shown,2026-08-20 04:35:56.910247
e00196,t0060,DIA,,,checkin_prompt_shown,2026-08-11 08:02:19.818086
e00197,t0060,DIA,,,flight_opted_in,2026-08-11 08:03:44.818086
e00198,t0061,ORD,,,checkin_prompt_shown,2026-08-01 20:44:35.028804
e00199,t0061,ORD,,,flight_opted_in,2026-08-01 20:44:48.028804
e00200,t0061,ORD,A22,150.0,delay_detected,2026-08-02 19:11:39.413843
e00201,t0061,ORD,A22,150.0,options_prompt_shown,2026-08-02 19:12:31.413843
e00202,t0062,ATL,,,checkin_prompt_shown,2026-08-20 04:25:16.502571
e00203,t0062,ATL,,,flight_opted_in,2026-08-20 04:25:47.502571
e00204,t0062,ATL,D16,60.0,delay_detected,2026-08-20 22:26:45.309941
e00205,t0062,ATL,D16,60.0,options_prompt_shown,2026-08-20 22:26:54.309941
e00206,t0063,ATL,,,checkin_prompt_shown,2026-08-15 05:24:26.217143
e00207,t0063,ATL,,,flight_opted_in,2026-08-15 05:24:56.217143
e00208,t0064,ATL,,,checkin_prompt_shown,2026-08-17 10:05:40.440335
e00209,t0065,SEA,,,checkin_prompt_shown,2026-08-02 03:37:34.610696
e00210,t0065,SEA,,,flight_opted_in,2026-08-02 03:38:41.610696
e00211,t0065,SEA,A23,75.0,delay_detected,2026-08-03 03:00:45.356656
e00212,t0065,SEA,A23,75.0,options_prompt_shown,2026-08-03 03:01:21.356656
e00213,t0065,SEA,A23,75.0,options_prompt_engaged,2026-08-03 03:02:30.356656
e00214,t0065,SEA,A23,75.0,gate_entered,2026-08-03 03:03:39.356656
e00215,t0065,SEA,A23,75.0,venue_selected,2026-08-03 03:04:19.356656
e00216,t0066,SEA,,,checkin_prompt_shown,2026-08-03 07:46:55.202580
e00217,t0067,DIA,,,checkin_prompt_shown,2026-08-03 05:57:00.479188
e00218,t0068,LAX,,,checkin_prompt_shown,2026-08-10 13:51:18.745467
e00219,t0068,LAX,,,flight_opted_in,2026-08-10 13:51:49.745467
e00220,t0069,ORD,,,checkin_prompt_shown,2026-08-07 15:56:22.805780
e00221,t0070,ORD,,,checkin_prompt_shown,2026-08-15 09:28:50.799965
e00222,t0070,ORD,,,flight_opted_in,2026-08-15 09:29:09.799965
e00223,t0070,ORD,D29,150.0,delay_detected,2026-08-15 18:53:07.409905
e00224,t0070,ORD,D29,150.0,options_prompt_shown,2026-08-15 18:53:37.409905
e00225,t0070,ORD,D29,150.0,options_prompt_engaged,2026-08-15 18:53:40.409905
e00226,t0071,LAX,,,checkin_prompt_shown,2026-08-17 05:43:48.230075
e00227,t0071,LAX,,,flight_opted_in,2026-08-17 05:44:37.230075
e00228,t0071,LAX,C1,90.0,delay_detected,2026-08-17 14:00:48.492232
e00229,t0071,LAX,C1,90.0,options_prompt_shown,2026-08-17 14:01:14.492232
e00230,t0072,DIA,,,checkin_prompt_shown,2026-08-06 10:33:25.720663
e00231,t0073,ATL,,,checkin_prompt_shown,2026-08-02 23:04:37.535487
e00232,t0073,ATL,,,flight_opted_in,2026-08-02 23:05:57.535487
e00233,t0074,LAX,,,checkin_prompt_shown,2026-08-20 07:08:08.712393
e00234,t0074,LAX,,,flight_opted_in,2026-08-20 07:08:26.712393
e00235,t0075,ATL,,,checkin_prompt_shown,2026-08-05 03:14:20.846144
e00236,t0075,ATL,,,flight_opted_in,2026-08-05 03:14:59.846144
e00237,t0075,ATL,B25,90.0,delay_detected,2026-08-05 16:00:07.581534
e00238,t0075,ATL,B25,90.0,options_prompt_shown,2026-08-05 16:00:39.581534
e00239,t0076,LAX,,,checkin_prompt_shown,2026-08-14 00:55:19.823876
e00240,t0076,LAX,,,flight_opted_in,2026-08-14 00:55:34.823876
e00241,t0077,LAX,,,checkin_prompt_shown,2026-08-17 19:49:14.340544
e00242,t0077,LAX,,,flight_opted_in,2026-08-17 19:49:55.340544
e00243,t0077,LAX,B6,90.0,delay_detected,2026-08-17 21:57:30.628277
e00244,t0077,LAX,B6,90.0,options_prompt_shown,2026-08-17 21:57:56.628277
e00245,t0077,LAX,B6,90.0,options_prompt_engaged,2026-08-17 21:58:31.628277
e00246,t0077,LAX,B6,90.0,gate_entered,2026-08-17 21:59:14.628277
e00247,t0077,LAX,B6,90.0,venue_selected,2026-08-17 22:00:25.628277
e00248,t0077,LAX,B6,90.0,directions_viewed,2026-08-17 22:00:44.628277
e00249,t0078,DIA,,,checkin_prompt_shown,2026-08-04 22:00:57.525214
e00250,t0078,DIA,,,flight_opted_in,2026-08-04 22:02:06.525214
e00251,t0078,DIA,B15,180.0,delay_detected,2026-08-05 10:28:04.400239
e00252,t0078,DIA,B15,180.0,options_prompt_shown,2026-08-05 10:28:57.400239
e00253,t0079,ORD,,,checkin_prompt_shown,2026-08-07 01:08:48.649788
e00254,t0079,ORD,,,flight_opted_in,2026-08-07 01:09:36.649788
e00255,t0079,ORD,B12,120.0,delay_detected,2026-08-07 04:15:19.261122
e00256,t0079,ORD,B12,120.0,options_prompt_shown,2026-08-07 04:16:00.261122
e00257,t0079,ORD,B12,120.0,options_prompt_engaged,2026-08-07 04:16:05.261122
e00258,t0079,ORD,B12,120.0,gate_entered,2026-08-07 04:17:07.261122
e00259,t0079,ORD,B12,120.0,venue_selected,2026-08-07 04:19:31.261122
e00260,t0079,ORD,B12,120.0,directions_viewed,2026-08-07 04:19:41.261122
e00261,t0080,DIA,,,checkin_prompt_shown,2026-08-14 01:57:19.805353
e00262,t0081,ORD,,,checkin_prompt_shown,2026-08-13 06:28:55.474744
e00263,t0081,ORD,,,flight_opted_in,2026-08-13 06:29:27.474744
e00264,t0082,ORD,,,checkin_prompt_shown,2026-08-15 11:13:46.049609
e00265,t0082,ORD,,,flight_opted_in,2026-08-15 11:14:30.049609
e00266,t0082,ORD,A5,180.0,delay_detected,2026-08-16 06:58:17.316015
e00267,t0082,ORD,A5,180.0,options_prompt_shown,2026-08-16 06:59:07.316015
e00268,t0083,LAX,,,checkin_prompt_shown,2026-08-12 17:14:19.501382
e00269,t0083,LAX,,,flight_opted_in,2026-08-12 17:15:14.501382
e00270,t0083,LAX,D15,180.0,delay_detected,2026-08-13 06:23:41.426566
e00271,t0083,LAX,D15,180.0,options_prompt_shown,2026-08-13 06:23:52.426566
e00272,t0083,LAX,D15,180.0,options_prompt_engaged,2026-08-13 06:24:14.426566
e00273,t0083,LAX,D15,180.0,gate_entered,2026-08-13 06:24:37.426566
e00274,t0084,LAX,,,checkin_prompt_shown,2026-08-17 23:02:24.292042
e00275,t0084,LAX,,,flight_opted_in,2026-08-17 23:02:45.292042
e00276,t0084,LAX,A21,60.0,delay_detected,2026-08-18 13:08:30.145403
e00277,t0084,LAX,A21,60.0,options_prompt_shown,2026-08-18 13:08:43.145403
e00278,t0085,SEA,,,checkin_prompt_shown,2026-08-16 20:16:15.550814
e00279,t0086,DIA,,,checkin_prompt_shown,2026-08-12 13:41:18.404882
e00280,t0087,ORD,,,checkin_prompt_shown,2026-08-06 11:18:50.280257
e00281,t0088,DIA,,,checkin_prompt_shown,2026-08-07 18:15:03.885687
e00282,t0089,ATL,,,checkin_prompt_shown,2026-08-16 01:00:52.413572
e00283,t0090,ORD,,,checkin_prompt_shown,2026-08-06 19:24:26.284614
e00284,t0090,ORD,,,flight_opted_in,2026-08-06 19:24:34.284614
e00285,t0090,ORD,C2,90.0,delay_detected,2026-08-07 12:36:59.607895
e00286,t0090,ORD,C2,90.0,options_prompt_shown,2026-08-07 12:37:35.607895
e00287,t0091,LAX,,,checkin_prompt_shown,2026-08-06 05:56:46.354760
e00288,t0092,ATL,,,checkin_prompt_shown,2026-08-02 06:26:34.316728
e00289,t0093,LAX,,,checkin_prompt_shown,2026-08-10 02:41:44.438649
e00290,t0093,LAX,,,flight_opted_in,2026-08-10 02:42:26.438649
e00291,t0093,LAX,A7,150.0,delay_detected,2026-08-10 23:08:44.835629
e00292,t0093,LAX,A7,150.0,options_prompt_shown,2026-08-10 23:09:01.835629
e00293,t0093,LAX,A7,150.0,options_prompt_engaged,2026-08-10 23:10:48.835629
e00294,t0093,LAX,A7,150.0,gate_entered,2026-08-10 23:11:57.835629
e00295,t0093,LAX,A7,150.0,venue_selected,2026-08-10 23:13:22.835629
e00296,t0093,LAX,A7,150.0,directions_viewed,2026-08-10 23:13:39.835629
e00297,t0094,ORD,,,checkin_prompt_shown,2026-08-21 05:38:28.556539
e00298,t0095,SEA,,,checkin_prompt_shown,2026-08-09 20:30:47.495863
e00299,t0095,SEA,,,flight_opted_in,2026-08-09 20:30:55.495863
e00300,t0095,SEA,A23,120.0,delay_detected,2026-08-10 00:46:45.733089
e00301,t0095,SEA,A23,120.0,options_prompt_shown,2026-08-10 00:47:15.733089
e00302,t0096,ATL,,,checkin_prompt_shown,2026-08-03 17:35:07.333375
e00303,t0097,ATL,,,checkin_prompt_shown,2026-08-15 10:34:35.056362
e00304,t0098,LAX,,,checkin_prompt_shown,2026-08-15 12:45:55.614624
e00305,t0099,ATL,,,checkin_prompt_shown,2026-08-11 17:38:22.520870
e00306,t0099,ATL,,,flight_opted_in,2026-08-11 17:38:27.520870
e00307,t0100,ATL,,,checkin_prompt_shown,2026-08-20 15:05:03.824944
e00308,t0100,ATL,,,flight_opted_in,2026-08-20 15:05:34.824944
e00309,t0100,ATL,C27,90.0,delay_detected,2026-08-21 00:17:43.724435
e00310,t0100,ATL,C27,90.0,options_prompt_shown,2026-08-21 00:17:53.724435
e00311,t0100,ATL,C27,90.0,options_prompt_engaged,2026-08-21 00:18:56.724435
e00312,t0100,ATL,C27,90.0,gate_entered,2026-08-21 00:20:15.724435
e00313,t0101,ORD,,,checkin_prompt_shown,2026-08-17 08:45:33.913656
e00314,t0102,DIA,,,checkin_prompt_shown,2026-08-07 05:09:35.607683
e00315,t0103,LAX,,,checkin_prompt_shown,2026-08-02 01:58:32.115410
e00316,t0103,LAX,,,flight_opted_in,2026-08-02 01:58:44.115410
e00317,t0103,LAX,A29,75.0,delay_detected,2026-08-02 07:27:45.267615
e00318,t0103,LAX,A29,75.0,options_prompt_shown,2026-08-02 07:28:13.267615
e00319,t0103,LAX,A29,75.0,options_prompt_engaged,2026-08-02 07:29:34.267615
e00320,t0103,LAX,A29,75.0,gate_entered,2026-08-02 07:30:24.267615
e00321,t0104,ATL,,,checkin_prompt_shown,2026-08-17 10:05:25.867617
e00322,t0104,ATL,,,flight_opted_in,2026-08-17 10:06:51.867617
e00323,t0105,ORD,,,checkin_prompt_shown,2026-08-16 16:34:27.382427
e00324,t0106,LAX,,,checkin_prompt_shown,2026-08-21 13:57:18.621301
e00325,t0106,LAX,,,flight_opted_in,2026-08-21 13:58:26.621301
e00326,t0106,LAX,B1,60.0,delay_detected,2026-08-22 12:19:13.253268
e00327,t0106,LAX,B1,60.0,options_prompt_shown,2026-08-22 12:20:05.253268
e00328,t0106,LAX,B1,60.0,options_prompt_engaged,2026-08-22 12:21:36.253268
e00329,t0106,LAX,B1,60.0,gate_entered,2026-08-22 12:23:03.253268
e00330,t0106,LAX,B1,60.0,venue_selected,2026-08-22 12:24:34.253268
e00331,t0106,LAX,B1,60.0,directions_viewed,2026-08-22 12:24:38.253268
e00332,t0107,LAX,,,checkin_prompt_shown,2026-08-07 08:04:09.321945
e00333,t0107,LAX,,,flight_opted_in,2026-08-07 08:05:37.321945
e00334,t0108,SEA,,,checkin_prompt_shown,2026-08-10 17:49:05.521792
e00335,t0109,DIA,,,checkin_prompt_shown,2026-08-03 09:21:26.609718
e00336,t0109,DIA,,,flight_opted_in,2026-08-03 09:22:24.609718
e00337,t0109,DIA,D6,90.0,delay_detected,2026-08-04 09:06:26.790661
e00338,t0109,DIA,D6,90.0,options_prompt_shown,2026-08-04 09:06:57.790661
